event_type,axis,operator,precision,accumulation,logN,batch,from_mapping,to_mapping,relative_margin,trial_ranges_non_overlapping,classification,reason
grid-wave,batch,fft,bf16,fp32,8,799,temporal-r2-t128,temporal-r2-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fft,bf16,fp32,8,800,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fft,bf16,fp32,8,1280,temporal-r2-t128,temporal-r2-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp16,fp32,8,959,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp16,fp32,8,960,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp64,native,15,4,online-r2-t256,online-r4-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp64,native,15,5,online-r4-t256,online-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,bf16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,fwht,bf16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fft,fp16,fp32,8,799,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fft,fp16,fp32,8,800,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fft,fp16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp64,native,20,2,online-r4-t256,online-r2-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,structured-2x2,fp16,native,15,6,online-r4-t256,hier-r4-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,structured-2x2,fp16,native,15,7,hier-r4-t256,hier-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fft,fp32,native,8,799,temporal-r4-t128,temporal-r2-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fft,fp32,native,8,800,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,structured-2x2,fp16,native,8,959,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,structured-2x2,fp16,native,8,960,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,subset-zeta,uint32,native,15,6,online-r4-t256,online-r2-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,subset-zeta,uint32,native,15,7,online-r2-t256,online-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,structured-2x2,fp16,fp32,15,6,online-r4-t256,online-r4-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,structured-2x2,fp16,fp32,15,7,online-r4-t256,hier-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,structured-2x2,fp32,native,8,959,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,structured-2x2,fp32,native,8,960,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,ntt,uint64,native,15,239,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,,,predicted,crosses 0.5 grid waves
working-set,batch,ntt,uint64,native,15,239,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,ntt,uint64,native,15,240,ntt-hybrid-r4-t256,ntt-hybrid-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,ntt,uint64,native,15,319,ntt-hybrid-r2-t256,ntt-hybrid-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp16,fp32,15,6,online-r4-t256,online-r2-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp16,fp32,15,7,online-r2-t256,hier-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,structured-2x2,bf16,fp32,20,2,hier-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,structured-2x2,bf16,fp32,20,2,hier-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fft,fp64,native,8,719,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fft,fp64,native,8,720,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
working-set,batch,fft,fp64,native,8,959,temporal-r4-t128,temporal-r4-t128,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fwht,bf16,fp32,8,959,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,bf16,fp32,8,960,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,bf16,fp32,8,1279,temporal-r2-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,fwht,fp16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fft,fp32,native,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,structured-2x2,fp16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,structured-2x2,fp16,native,20,2,hier-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fwht,fp16,fp32,20,2,hier-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,fwht,fp16,fp32,20,2,hier-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fft,bf16,fp32,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,fft,bf16,fp32,15,4,online-r2-t256,online-r4-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fft,bf16,fp32,15,8,online-r2-t256,online-r2-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fft,bf16,native,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,structured-2x2,bf16,native,20,2,online-r4-t256,hier-r4-t256,,,predicted,crosses 2 grid waves
working-set,batch,structured-2x2,bf16,native,20,2,online-r4-t256,hier-r4-t256,,,predicted,estimated two-buffer working set crosses L2
grid-wave,batch,fwht,fp16,native,15,6,online-r4-t256,online-r4-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp16,native,15,7,online-r4-t256,online-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fwht,fp32,native,15,6,online-r4-t256,online-r2-t256,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp32,native,15,7,online-r2-t256,online-r4-t256,,,predicted,crosses 1 grid waves
grid-wave,batch,fft,fp16,fp32,20,2,online-r4-t256,online-r4-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,subset-zeta,uint32,native,20,2,online-r4-t256,online-r2-t256,,,predicted,crosses 2 grid waves
grid-wave,batch,fwht,fp16,native,8,959,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 0.5 grid waves
grid-wave,batch,fwht,fp16,native,8,960,temporal-r4-t128,temporal-r4-t128,,,predicted,crosses 1 grid waves
